comments,words
94,"['on', 'my', 'last', 'stroll', 'on', 'level', 'shoreline', 'trail', 'distance', 'was', 'measured', 'correctly', 'however', 'my', 'recorded', 'altitude', 'was', 'typically', 'at', '145', 'feet', 'below', 'sea', 'level', 'had', 'recorded', 'altitude', 'gain', 'of', 'hundreds', 'of', 'feet', 'on', 'level', 'trail', 'my', 'fastest', 'walking', 'pace', 'registered', '16', 'miles', 'per', 'hour', 'you', 'can', 'be', 'absolutely', 'certain', 'that', 'person', 'who', 'created', 'this', 'product', 'has', 'never', 'used', 'it', 'they', 'have', 'been', 'informed', 'of', 'issues', 'take', 'no', 'steps', 'fix', 'their', 'work', 'now', 'they', 'have', 'upgraded', 'look', 'at', 'elevation', 'info', 'for', 'their', 'screenshot', 'of', 'statistics', 'page', 'they', 'clearly', 'have', 'been', 'walking', 'below', 'sea', 'level']"
95,"['well', 'it', 'works', 'for', 'sure', 'but', 'it', 'doesn', 'work', 'perfectly', 'on', 'my', 'device', 'it', 'records', 'tracks', 'walk', 'but', 'sometimes', 'it', 'just', 'doesn', 'record', 'for', 'period', 'of', 'time', 'start', 'again', 'just', 'few', 'minutes', 'later', 'which', 'creates', 'holes', 'in', 'track', 'recorded', 'don', 'know', 'if', 'it', 'isn', 'my', 'gps', 'fault', 'but', 'coordinate', 'detection', 'unreliable', 'it', 'showed', 'me', 'two', 'different', 'places', 'on', 'map', 'when', 'was', 'in', 'same', 'place', 'but', 'while', 'later', 'speed', 'graph', 'not', 'behaving', 'much', 'better', 'while', 'my', 'speed', 'on', 'average', 'km', 'it', 'shows', 'me', 'peaks', '30', 'km', 'high', 'whole', 'graph', 'completely', 'jagged', 'resembles', 'sawtooth', ""doesn't"", ""doesn't"", ""don't"", ""isn't"", ""gps's""]"
96,"['mon', 'stop', 'it', 'please', 'app', 'was', 'great', 'for', 'what', 'it', 'did', 'in', 'versions', 'then', 'they', 'badly', 'broke', 'versions', 'then', 'they', 'fixed', 'them', 'then', 'they', 'decided', 'kill', 'excellent', 'send', 'google', 'functionality', 'that', 'made', 'it', 'so', 'easy', 'have', 'map', 'links', 'embedded', 'in', 'my', 'tracks', 'spreadsheet', 'please', 'stop', 'it', 'app', 'was', 'just', 'fine']"
97,"['use', 'this', 'regularly', 'but', 'latest', 'updates', 'give', 'package', 'incorrectly', 'signed', 'error', 'on', 'my', 'htc', 'desire', 'bravo', 'running', 'froyo', 'would', 'like', 'report', 'this', 'but', 'can', 'find', 'out', 'how', 'all', 'can', 'do', 'this', 'review', ""can't""]"
98,"['ve', 'been', 'using', 'testing', 'all', 'popular', 'trackers', 'see', 'which', 'liked', 'best', 'just', 'happened', 'stumble', 'upon', 'mytracks', 'so', 'thought', 'would', 'give', 'it', 'try', 'well', 'once', 'downloaded', 'opened', 'it', 'knew', 'would', 'like', 'it', 'after', 'tried', 'it', 'for', 'day', 'uninstalled', 'all', 'others', 'it', 'clean', 'easy', 'use', 'does', 'everything', 'others', 'do', 'but', 'better', 'it', 'my', 'goto', 'tracker', 'only', 'one', 'installed', 'on', 'my', 'phone', ""i've"", ""it's"", ""it's""]"
99,"['use', 'this', 'when', 'hiking', 'it', 'gives', 'me', 'my', 'rate', 'of', 'speed', 'incline', 'decline', 'elevations', 'on', 'charts', 'so', 'that', 'can', 'easily', 'see', 'if', 'on', 'time', 'or', 'behind', 'schedule', 'its', 'must', 'have', 'for', 'serious', 'hikers', ""i'm"", ""i'm""]"
100,"['using', 'this', 'on', 'micromax', 'after', 'new', 'map', 'created', 'total', 'km', 'traveled', 'increases', 'drastically', 'though', 'traveled', '10', 'km', 'it', 'shows', 'me', '500km', 'this', 'also', 'modifies', 'already', 'saved', 'tracks', 'very', 'very', 'poor', 'its', 'becomes', 'junk', 'app']"
101,"['this', 'app', 'does', 'what', 'it', 'supposed', 'do', 'does', 'it', 'well', 'nothing', 'more', 'nothing', 'less', 'accurately', 'tracks', 'your', 'route', 'allows', 'you', 'export', 'it', 'variety', 'of', 'formats', 'with', 'recent', 'photo', 'marker', 'upgrade', 'it', 'became', 'even', 'better', 'now', 'just', 'add', 'pre', 'downloading', 'area', 'we', 'expect', 'move', 'through', 'so', 'we', 'can', 'still', 'see', 'map', 'in', 'no', 'cell', 'signal', 'areas', 'it', 'perfect', ""it's"", ""it's""]"
102,"['love', 'this', 'app', 'new', 'update', 'includes', 'calories', 'burned', 'which', 'was', 'excited', 'about', 'but', 'seems', 'be', 'pretty', 'inaccurate']"
103,"['great', 'accurate', 'share', 'function', 'good', 'aliby', 'lol', 'it', 'great', 'for', 'personal', 'bests']"
104,"['love', 'this', 'app', 'for', 'tracking', 'where', 'ride', 'on', 'atv', 'trails', 'only', 'wish', 'play', 'feature', 'worked', 'on', 'computer', 'when', 'viewing', 'tracks', 'on', 'computer']"
105,"['please', 'just', 'work', 'on', 'this', 'app', 'more', 'so', 'it', 'can', 'compete', 'with', 'apps', 'like', 'nike']"
106,"['love', 'this', 'app', 'wish', 'it', 'had', 'nice', 'tutorial', 'walk', 'you', 'through', 'functionality', 'though', 'took', 'little', 'time', 'of', 'trial', 'error', 'get', 'most', 'of', 'it']"
107,"['stores', 'stats', 'resumes', 'after', 'reboot', 'syncs', 'google', 'still', 'use', 'trimble', 'for', 'offline', 'maps', 'but', 'use', 'this', 'also', 'for', 'stored', 'stats', 'easier', 'map']"
108,"['we', 'use', 'this', 'every', 'time', 'we', 'go', 'out', 'for', 'walk', 'run', 'love', 'this', 'app']"
109,"['great', 'gps', 'recording', 'app', 'very', 'accurate', 'easy', 'use', 'it', 'just', 'bit', 'tricky', 'getting', 'recorded', 'tracks', 'off', 'phone', ""it's""]"
110,"['wish', 'you', 'could', 'pick', 'where', 'you', 'left', 'off', 'or', 'add', 'maps', 'together']"
111,"['last', 'time', 'checked', 'my', 'tracks', 'was', 'very', 'bare', 'track', 'recording', 'application', 'it', 'seems', 'it', 'has', 'now', 'evolved', 'into', 'full', 'featured', 'fitness', 'app']"
112,"['have', 'try', 'other', 'tracking', 'app', 'but', 'this', 'app', 'more', 'simple', 'light', 'have', 'idea', 'how', 'about', 'make', 'it', 'live', 'tracking', 'post', 'social', 'network', 'so', 'other', 'can', 'see', 'activity', 'specially', 'those', 'in', 'activity', 'group']"
113,"['versatile', 'informative', 'has', 'many', 'applications']"
114,"['best', 'tracking', 'app', 've', 'found', 'only', 'one', 've', 'been', 'able', 'trust', 'primary', 'record', 'keeper', 'wish', 'there', 'was', 'google', 'chrome', 'desktop', 'app', 'edit', 'organize', 'my', 'rides', ""i've"", ""i've""]"
115,"['does', 'sometimes', 'deviate', 'from', 'where', 'you', 'actually', 'are', 'but', 'not', 'too', 'badly']"
116,"['it', 'getting', 'better', 'better', 'with', 'each', 'update', ""it's""]"
117,"['best', 'tracking', 'app', 'record', 'exercise', 'or', 'travel', 'events']"
118,"['overdue', 'for', 'update', 'needs', 'follow', 'google', 'own', 'app', 'ui', 'scheme', ""google's""]"
119,"['still', 'want', 'see', 'snapshot', 'of', 'all', 'of', 'my', 'splits', 'don', 'want', 'have', 'click', 'on', 'each', 'marker', 'see', ""don't""]"
120,"['samsung', 'note', 'works', 'very', 'well', 'moving', 'from', 'trail', 'map', 'satellite', 'view', 'huge', 'great', 'on', 'battery', 'easy', 'share']"
121,"['love', 'this', 'recipe', 'app', 'good', 'interface', 'great', 'varied', 'recipes', 'highly', 'recommended', 'update', 'it', 'gets', 'even', 'better', ""it's""]"
122,"['you', 'instantly', 'become', 'that', 'sounds', 'good', 'cook']"
123,"['love', 'this', 'give', 'your', 'different', 'type', 'dish', 'from', 'cultural']"
124,"['love', 'cooking', 'love', 'new', 'ideas', 'best', 'app', 'downloaded', 'for', 'recipes']"
125,"['very', 'good', 'but', 'it', 'possible', 'change', 'light', 'gray', 'letters', 'into', 'more', 'visible', 'color', 'its', 'so', 'hard', 'read', 'thank', 'you']"
126,"['this', 'app', 'by', 'far', 'one', 'of', 'greatest', 'food', 'apps', 'ever', 'it', 'amazes', 'me', 'how', 'it', 'keeps', 'growing', 'getting', 'better', 'better', 'am', 'chef', 'love', 'this', 'app']"
127,"['especially', 'love', 'meal', 'planner', 'grocery', 'list', 'functionality', 'has', 'definitely', 'helped', 'make', 'weekly', 'meal', 'planning', 'breeze', 'also', 'this', 'by', 'far', 'one', 'of', 'more', 'aesthetically', 'pleasing', 'recipe', 'type', 'apps', 'in', 'play', 'store']"
128,"['congratulations', 'rafa', 'silvia', '10', 'million', 'user', 'best', 'top', 'recommended', 'worldwide', 'homecooked', 'recipes', 'app', 'step', 'by', 'step', 'photo', 'instructions', 'its', 'easy', 'user', 'friendly', 'too', 'long', 'live', 'allthecooks']"
129,"['its', 'my', 'cook', 'book', 'love', 'it', 'its', 'gives', 'me', 'new', 'ideas', 'for', 'supper']"
130,"['like', 'homemade', 'recipes', 'easy', 'instructions', 'can', 'create', 'my', 'own', 'categories', 'also', 'helps', 'create', 'grocery', 'list']"
131,"['this', 'app', 'not', 'so', 'complicated', 'it', 'challenge', 'find', 'simple', 'recipe', 'like', 'many', 'of', 'other', 'available', 'recipe', 'sources']"
132,"['this', 'most', 'diverse', 'user', 'friendliest', 'app', 'have', 'found', 'seriously', 'thank', 'you', 'for', 'making', 'this', 'app']"
133,"['user', 'friendly', 'great', 'app']"
134,"['good', 'app', 'so', 'useful', 'thanks']"
135,"['loved', 'all', 'tools', 'available', 'very', 'interactive']"
136,"['use', 'this', 'all', 'time']"
137,"['all', 'it', 'does', 'open', 'app']"
138,"['like', 'mix']"
139,"['wow', 'thanks', 'for', 'recipes']"
140,"['love', 'love', 'love']"
141,"['great', 'app', 'love', 'dietary', 'preferences', 'categories', 'are', 'great', 'for', 'idea', 'browsing', 'great', 'way', 'record', 'share', 'new', 'recipes', 'only', 'thing', 'it', 'needs', 'more', 'recipes', 'recommend', 'it', 'for', 'sure']"
142,"['im', 'giving', 'stars', 'because', 'of', 'only', 'one', 'issue', 'have', 'if', 'scroll', 'down', 'page', 'of', 'lets', 'say', '250', 'recipes', 'click', 'on', 'one', 'recipe', 'see', 'it', 'then', 'hit', 'back', 'button', 'have', 'start', 'again', 'from', 'top', 'of', 'list', 'scroll', 'back', 'down', 'where', 'was', 'issue', 'was', 'addressed', 'developer', 'over', 'month', 'ago', 'but', 'no', 'reply']"
143,"['love', 'this', 'app', 'awesome', 'easy', 'fondant']"
144,"['all', 'recipes', 'now', 'in', 'my', 'pocket', 'am', 'master', 'chef', 'yayyy']"
145,"['don', 'like', 'how', 'you', 'can', 'scroll', 'any', 'more', 'it', 'clicks', 'in', 'place', 'bad', 'very', 'bad', ""don't"", ""can't""]"
146,"['absolutely', 'love', 'this', 'app', 'so', 'easy', 'use', 'great', 'recipes', 'at', 'your', 'fingertips']"
147,"['it', 'would', 'be', 'nice', 'if', 'you', 'add', 'option', 'find', 'recipe', 'by', 'ingredients', 'you', 'have']"
148,"['tons', 'of', 'recipes', 'you', 'can', 'add', 'your', 'own']"
149,"['best', 'recipe', 'app', 'in', 'my', 'opinion']"
150,"['love', 'this', 'app', 'so', 'much', 'never', 'know', 'what', 'cook', 'for', 'dinner', 'this', 'always', 'gives', 'me', 'ideas']"
151,"['my', 'mom', 'love', 'cooking', 'when', 'mom', 'died', 'miss', 'her', 'cooking', 'so', 'try', 'be', 'one', 'by', 'this', 'app', 'want', 'try', 'cook', 'much', 'can']"
152,"['easy', 'find', 'recipes', 'communicate', 'with', 'other', 'foodies']"
153,"['use', 'this', 'all', 'time']"
154,"['tons', 'of', 'variety', 'easy', 'use']"
155,"['great', 'app']"
156,"['great', 'app', 'with', 'plenty', 'of', 'quick', 'recipes']"
157,"['love', 'it']"
158,"['having', 'so', 'much', 'fun', 'with', 'this', 'app', 'wonderful', 'be', 'sharing', 'my', 'favourite', 'recipes', 'with', 'people', 'all', 'over', 'world']"
159,"['great', 'love', 'large', 'clear', 'pictures', 'of', 'recipes', 'layout', 'text', 'size', 'are', 'good', 'measurements', 'can', 'be', 'changed', 'mark', 'recipes', 'for', 'later', 'cooking', 'you', 'have', 'add', 'them', 'favourites', 'try', 'later', 'button', 'would', 'be', 'improvement', 'here', 'also', 'concept', 'of', 'forced', 'social', 'media', 'login', 'set', 'up', 'food', 'planner', 'misconceived']"
160,"['love', 'this', 'app', 'it', 'has', 'simple', 'easy', 'navigation', 'browsing', 'through', 'recipes', 'includes', 'ingredients', 'instructions', 'servings', 'along', 'with', 'helpful', 'comment', 'questions', 'sections', 'quick', 'adding', 'favs', 'with', 'tags', 'don', 'rely', 'on', 'nutritional', 'values', 'presented', 'most', 'are', 'way', 'off', 'otherwise', 'really', 'great', 'app', ""don't""]"
161,"['great', 'app', 'easy', 'use', 'really', 'helped', 'me', 'take', 'control', 'of', 'my', 'diet', 'achieve', 'weight', 'lose', 'must', 'have', 'app', 'for', 'anyone', 'serious', 'about', 'learning', 'good', 'eating', 'habits']"
162,"['can', 'tell', 'nothing', 'that', 'hasn', 'been', 'already', 'said', 'before', 'about', 'this', 'app', 'you', 'have', 'changed', 'my', 'life', ""can't"", ""hasn't""]"
163,"['great', 'app', 'like', 'bit', 'better', 'interface', 'create', 'your', 'own', 'library', 'of', 'foods', 'but', 'great', 'overall', ""i'd""]"
164,"['very', 'helpful', 'app', 'has', 'helped', 'me', 'eat', 'healthier', 'be', 'more', 'mindful', 'of', 'nutritional', 'value', 'composition', 'of', 'foods', 'eat', 'well', 'done', 'thanks']"
165,"['was', 'paying', 'for', 'weight', 'watchers', 'online', 'don', 'waste', 'ur', 'money', 'this', 'much', 'better', 'easier', 'use', ""don't""]"
166,"['this', 'app', 'amazing', 'has', 'everything', 'you', 'need', 'including', 'pretty', 'much', 'every', 'type', 'of', 'food', 'serving', 'sizes', 'highly', 'recommend', 'it', 'love', 'it', ""i'd""]"
167,"['love', 'this', 'app', 'simply', 'for', 'its', 'ease', 'of', 'use', 'vast', 'database', 'of', 'foods', 'their', 'nutritional', 'information', 'keep', 'it', 'up']"
168,"['great', 'tool', 'easy', 'use', 'food', 'database', 'well', 'stocked', 'easy', 'add', 'you', 'could', 'pay', 'for', 'lesser', 'app', 'website', 'but', 'why', 'would', 'you']"
169,"['this', 'app', 'helps', 'me', 'set', 'my', 'weight', 'goal', 'manage', 'my', 'food', 'reach', 'it', 've', 'lost', '10', 'lbs', 'so', 'far', 'when', 'you', 'add', 'your', 'friends', 'it', 'you', 'can', 'all', 'see', 'how', 'each', 'other', 'are', 'doing', 'encourage', 'one', 'another', 'what', 'great', 'app', 'for', 'diets', ""i've""]"
170,"['love', 'this', 'app', 'it', 'helping', 'me', 'control', 'my', 'calorie', 'intake', 've', 'lost', '4lbs', 'since', 'started', 'using', 'it', 'weeks', 'ago', 'very', 'easy', 'use', 'love', 'it', ""it's"", ""i've""]"
171,"['really', 'great', 'love', 'barcode', 'function', 'you', 'just', 'have', 'be', 'careful', 'make', 'sure', 'that', 'information', 'in', 'database', 'accurate']"
172,"['my', 'wife', 'have', 'found', 'program', 'easy', 'us', 'helpful', 'in', 'tracking', 'how', 'much', 'we', 'eat', 'each', 'day', 'in', 'order', 'reach', 'our', 'individual', 'goals', 'must', 'app', 'on', 'anyone', 'phone', 'for', 'good', 'consumption', ""anyone's""]"
173,"['have', 'used', 'this', 'app', 'for', 'close', 'year', 'love', 'it', 'very', 'user', 'friendly', 'you', 'can', 'even', 'add', 'your', 'own', 'recipes']"
174,"['easy', 'use', 'runs', 'smoothly', 'has', 'almost', 'every', 'food', 'exercise', 'add', 'it', 'very', 'helpful', 'keep', 'track', 'of', 'what', 'you', 'eat', ""it's""]"
175,"['love', 'how', 'almost', 'any', 'food', 'or', 'drink', 'can', 'be', 'found', 'great', 'functionality', 'syncs', 'with', 'my', 'endomondo', 'fit', 'bit', 'flex', 'with', 'no', 'problems']"
176,"['easy', 'use', 'love', 'scan', 'option', 'would', 'love', 'be', 'able', 'share', 'meal', 'with', 'my', 'husband', 'so', 'we', 'don', 'both', 'have', 'add', 'it', 'separately', 'though', ""don't""]"
177,"['great', 'calorie', 'tracker', 'so', 'very', 'handy', 'loved', 'it', 'from', 'day', 'one', 'use', 'it', 'daily', 'for', 'all', 'my', 'nutritional', 'tracking', 'requirments']"
178,"['pretty', 'good', 'app', 'for', 'freebee', 'only', 'use', 'it', 'for', 'calorie', 'counting', 'it', 'works', 'great', 'for', 'that']"
179,"['wonderful', 'app', 'found', 'almost', 'all', 'diff', 'types', 'of', 'food', 'perfect', 'twonderful', 'app', 'found', 'almost', 'all', 'diff', 'types', 'of', 'food', 'perfect']"
180,"['its', 'ease', 'of', 'use', 'index', 'of', 'products', 'amazing', 'highly', 'recommended']"
181,"['don', 'like', 'new', 'update', 'it', 'very', 'buggy', 'freezes', 'my', 'phone', 'up', 'won', 'allow', 'add', 'previous', 'day', 'work', 'overnights', 'so', 'when', 'go', 'add', 'complete', 'it', 'adds', 'present', 'my', 'view', 'why', 'have', 'this', 'app', 'if', 'it', 'won', 'work', 'get', 'it', 'fixed', 'then', 'll', 'redownload', 'it', ""don't"", ""won't"", ""won't"", ""i'll""]"
182,"['have', 'tried', 'installing', 'this', 'twice', 'now', 'it', 'still', 'won', 'let', 'me', 'sign', 'into', 'it', 'it', 'won', 'load', 'screens', 'fade', 'out', 'into', 'random', 'windows', 'can', 'do', 'anything', 'it', 'isn', 'great', 'have', 'been', 'told', ""won't"", ""won't"", ""can't"", ""isn't""]"
183,"['with', 'jenny', 'they', 'said', 'it', 'was', 'my', 'phone', 'reason', 'app', 'isnt', 'wrking', 'samsung', 'admirer', 'too', 'cannot', 'log', 'new', 'foods', 'thinking', 'new', 'app', 'could', 'be', 'nice', 'fix', 'this', 'stars', 'been', 'using', 'this', 'app', 'for', 'years', 'lost', '57', 'lbs', 'never', 'problem', 'until', 'past', 'months', 'or', 'so', ""i'm"", ""i'm""]"
184,"['how', 'this', 'app', 'has', 'stars', 'have', 'no', 'clue', '1st', 'time', 'user', 'cannot', 'create', 'username', 'which', 'comes', 'up', 'invalid', 'no', 'matter', 'what', 'put', 'in', 'going', 'uninstall', 'immediately']"
185,"['this', 'app', 'so', 'easy', 'use', 'with', 'pretty', 'much', 'every', 'food', 'in', 'their', 'database', 'have', 'been', 'using', 'it', 'for', 'over', 'year', 'now', 'have', 'lost', 'over', '35', 'pounds', 'tthis', 'app', 'so', 'easy', 'use', 'almost', 'every', 'food', 'already', 'in', 'calorie', 'search', 'if', 'it', 'not', 'you', 'can', 'easily', 'add', 'it', 'use', 'for', 'future', 'use', 'it', 'has', 'really', 'helped', 'me', 'keep', 'track', 'of', 'what', 'how', 'much', 'am', 'eating', ""it's""]"
186,"['this', 'app', 'really', 'helps', 'stick', 'ur', 'calorie', 'goals', 'dont', 'cheat', 'ur', 'only', 'cheating', 'yourself', 'needs', 'more', 'exercise', 'options', 'tho', 'but', 'its', 'good', 'free']"
187,"['this', 'has', 'really', 'helped', 'me', 'realize', 'just', 'how', 'many', 'calories', 'consume', 'burn', 'it', 'nice', 'see', 'weekly', 'average', 'so', 'don', 'feel', 'guilty', 'just', 'give', 'up', 'if', 'go', 'over', 'my', '1800', 'daily', 'limit', 'love', 'scan', 'feature', 'when', 'adding', 'foods', ""it's"", ""don't""]"
188,"['love', 'this', 'app', 'it', 'helps', 'manage', 'my', 'salt', 'intake', 'which', 'need', 'do', 'it', 'does', 'have', 'some', 'issues', 'like', 'not', 'putting', 'food', 'on', 'proper', 'day', 'locking', 'up', 'once', 'in', 'awhile', 'but', 'overall', 'willing', 'wait', 'for', 'bugs', 'be', 'fixed', ""i'm""]"
189,"['apart', 'from', 'fact', 'that', 'sometimes', 'adding', 'food', 'when', 'it', 'jumps', 'back', 'home', 'page', 'sometimes', 'doesn', 'sync', 'straightaway', 'with', 'my', 'computer', 'this', 'app', 'works', 'brilliantly', 'have', 'lost', 'weight', 'already', 'one', 'week', 'in', 'love', 'way', 'it', 'shows', 'you', 'when', 'you', 'complete', 'entry', 'roughly', 'how', 'much', 'you', 'could', 'weigh', 'in', 'five', 'weeks', 'great', 'incentive', ""i'm"", ""doesn't""]"
190,"['love', 'how', 'sometimes', 'can', 'find', 'obscure', 'ethnic', 'food', 'barcodes', 'dishes', 'since', 'can', 'read', 'french', 'spanish', 'korean', 'problem', 'notating', 'serving', 'size', 'has', 'been', 'fixed', 'or', 'at', 'least', 'think', 'it', 'has', 'love', 'functions', 'like', 'moving', 'items', 'different', 'meals', 'copying', 'meals', 'just', 'wish', 'there', 'were', 'more', 'exercise', 'options', 'add', 'in', 'for', 'my', 'weight', 'training', 'sometimes', 'it', 'freezes', 'has', 'reset', 'but', 'all', 'my', 'info', 'still', 'there', 'all', 'in', 'all', 'great', 'app']"
191,"['only', 'drawback', 'that', 'recipe', 'creation', 'doesn', 'allow', 'you', 'define', 'serving', 'size', 'unless', 'missing', 'something', ""doesn't"", ""i'm""]"
192,"['was', 'great', 'now', 'glitchy']"
193,"['this', 'app', 'has', 'been', 'most', 'helpful', 'resources', 'have', 'in', 'my', 'quest', 'for', 'losing', 'weight', 'but', 'of', 'lately', 'it', 'has', 'been', 'prone', 'freezing', 'stalling', 'or', 'simply', 'not', 'loading', 'all', 'have', 'even', 'experience', 'because', 'my', 'phone', 'completely', 'off', 'when', 'trying', 'access', 'app', 'needs', 'major', 'fix', 'for', 'spectrum', 'phone']"
194,"['great', 'motivation', 'if', 'ever', 'need', 'know', 'how', 'many', 'calories', 'can', 'find', 'out', 'quick', 'easy', 'also', 'helps', 'me', 'plan', 'my', 'day', 'even', 'when', 'get', 'super', 'busy']"
195,"['easy', 'use', 'detailed', 'great', 'tool', 'for', 'weight', 'loss', 'keeps', 'you', 'on', 'track', 'focused']"
196,"['started', 'using', 'it', 'weeks', 'ago', 'was', 'dreading', 'process', 'of', 'recording', 'daily', 'intake', 'was', 'pleasantly', 'surprised', 'with', 'user', 'friendly', 'interface', 'flexibility', 'record', 'food', 'intake', 'it', 'let', 'you', 'track', 'your', 'progress', 'record', 'activity', 'well', 'good', 'stuff', ""let's""]"
197,"['very', 'convenient', 'track', 'your', 'nutrition', 'makes', 'your', 'food', 'choices', 'more', 'conscious', 'updated', 'ui', 'way', 'better', 'but', 'that', 'would', 'be', 'great', 'too', 'more', 'international', 'foods', 'better', 'typing', 'correction', 'when', 'searching', 'pushing', 'more', 'popular', 'sports', 'platforms', 'movescount', 'polarpersonaltrainer', 'garmin', 'connect', 'thanks']"
198,"['its', 'very', 'good', 'it', 'has', 'every', 'thing', 'you', 'want', 'know', 'about', 'yet', 'its', 'boring', 'add', 'some', 'pictures', 'colors', 'will', 'rate', 'it', 'stars']"
199,"['only', 'thing', 'that', 'would', 'make', 'it', 'better', 'more', 'strength', 'activities', 'calories', 'burned', 'so', 'can', 'keep', 'accurate', 'track']"
200,"['it', 'seems', 'silly', 'that', 'just', 'recording', 'what', 'eat', 'would', 'have', 'such', 'significant', 'impact', 'but', 'it', 'does', 'have', 'admit', 'get', 'little', 'secret', 'thrill', 'when', 'enter', 'my', 'exercise', 'for', 'day', 'my', 'calorie', 'count', 'goes', 'down']"
201,"['only', 'con', 'that', 'you', 'have', 'create', 'nike', 'account']"
202,"['started', 'running', 'this', 'app', 'fantastic', 'just', 'downloaded', 'guess', 'what', 'found', 'coach', 'finally', 'this', 'awesome']"
203,"['love', 'nike', 'coach']"
204,"['keep', 'improving']"
205,"['terrible', 'for', 'treadmill', 'running']"
206,"['it', 'very', 'good', 'feature', 'hay', 'miss', 'so', 'much', 'just', 'switched', 'from', 'iphone', 'android', 'os', 'phone', 'there', 'many', 'things', 'im', 'missing', ""it's"", ""there's""]"
207,"['have', 'used', 'thus', 'app', 'with', 'both', 'android', 'apple', 'phones', 'two', 'different', 'carriers', 'sprint', 'verison', 'same', 'results', 'loses', 'track', 'of', 'distance', 'at', 'times', 'also', 'have', 'ran', 'with', 'friends', 'we', 'would', 'have', 'different', 'distances', 'at', 'end', 'of', 'run']"
208,"['my', 'last', 'two', 'runs', 'were', 'not', 'logged', 'at', 'end', 'of', 'each', 'run', 'got', 'notice', 'that', 'app', 'stopped', 'running', 'am', 'new', 'runner', 'logging', 'my', 'miles', 'getting', 'new', 'achievements', 'what', 'keeps', 'me', 'motivated', 'fix', 'it', 'please']"
209,"['still', 'love', 'this', 'app', 'it', 'has', 'crashed', 'couple', 'times', 'during', 'runs', 'because', 'deleted', 'song', 'it', 'tried', 'play', 'lost', 'my', 'run', 'info', 'few', 'times', 'now']"
210,"['this', 'app', 'was', 'great', 'at', 'first', 'but', 'no', 'longer', 'records', 'corrdct', 'distance', 'of', 'my', 'runs', 'new', 'runner', 'app', 'intended', 'motivate', 'not', 'frustrate', 'ios', 'app', 'allows', 'you', 'update', 'your', 'distance', 'not', 'sure', 'why', 'android', 'different', 'very', 'frustrated']"
211,"['superb', 'app', 'for', 'running', 'does', 'it', 'perfectly', 'whatever', 'it', 'says', 'in', 'description', 'five', 'stars', 'if', 'can', 'set', 'personal', 'challenges', 'without', 'inviting', 'friends']"
212,"['it', 'did', 'say', 'gps', 'connectivity', 'not', 'at', 'its', 'best', 'but', 'everyone', 'since', 'last', 'weeks', 'it', 'gives', 'inaccurate', 'distance', 'shows', '2km', 'when', 'had', 'just', 'ran', '1km', 'checked', 'in', 'my', 'wife', 'app', 'other', 'time', 'it', 'started', 'moving', 'even', 'faster', 'after', 'first', '1km', 'saying', 'another', '1km', 'in', 'next', 'min', 'another', 'in', 'next', 'min', 'spoils', 'miss', 'run', ""wife's""]"
213,"['finally', 'had', 'my', 'first', 'unexpected', 'error', 'when', 'run', 'miles', 'got', 'achievement', 'when', 'want', 'check', 'out', 'what', 'are', 'these', 'achievement', 'app', 'crushed', 'every', 'single', 'time', 'also', 'when', 'do', 'nike', 'plan', 'update', 'this', 'app', 'it', 'seems', 'nike', 'running', 'has', 'update', 'on', 'ios', 'please', 'show', 'some', 'respect', 'android', 'user', 'update', 'asap']"
214,"['make', 'it', 'so', 'we', 'can', 'add', 'run', 'manually', 'get', 'off', 'apple', 'dick', 'there', 'no', 'reason', 'iphone', 'can', 'do', 'it', 'but', 'galaxy', 'can', 'fix', 'it', 'it', 'will', 'be', 'stars', ""apple's"", ""can't""]"
215,"['so', 'when', 'first', 'started', 'using', 'nike', 'years', 'ago', 'they', 'had', 'coaching', 'on', 'nike', 'website', 'now', 'its', 'only', 'available', 'through', 'facebook', 'iphones', 'outside', 'of', 'differences', 'in', 'android', 'ios', 'apps', 'love', 'it', 'gps', 'tracking', 'comparing', 'your', 'friends', 'pace', 'analysis', 'its', 'awesome', 'love', 'it']"
216,"['just', 'crashes', 'all', 'time', 'now', 'nike', 'support', 'suggested', 'that', 'uninstall', 'reinstall', 'it', 'did', 'that', 'now', 'it', 'wont', 'even', 'let', 'me', 'login', 'my', 'profile', 'will', 'update', 'my', 'rating', 'only', 'when', 'it', 'comes', 'back', 'online', 'for', 'me', 'when', 'it', 'worked', 'it', 'was', 'just', 'perfect', 'for', 'what', 'it', 'was', 'until', 'it', 'crashed', 'so', 'badly']"
217,"['love', 'this', 'app', 'have', 'never', 'run', 'into', 'any', 'trouble', 'only', 'thing', 'preventing', 'me', 'from', 'rating', 'it', 'five', 'out', 'of', 'five', 'that', 'there', 'are', 'features', 'available', 'on', 'iphone', 'that', 'aren', 'available', 'on', 'android', 'want', 'my', 'coaches', ""aren't""]"
218,"['move', 'around', 'lot', 'unfortunately', 'in', 'key', 'west', 'fl', 'my', 'calibration', 'has', 'been', 'severely', 'off', 'despite', 'fact', 'subscribe', 'actual', 'internet', 'service', 'on', 'my', 'phone', 'not', 'just', 'mercy', 'of', 'wifi', 'hope', 'you', 'can', 'fix', 'update', 'this', 'app', 'more', 'regularly', 'since', 'use', 'it', 'often']"
