comments,words
20,"['came', 'back', 'endo', 'app', 'primary', 'logging', 'route', 'when', 'my', 'proper', 'option', 'garmin', 'was', 'in', 'for', 'repair', 'endo', 'gave', 'up', 'half', 'way', 'round', 'no', 'alert', 'no', 'explanation', 'not', 'fit', 'for', 'purpose', 'try', 'strava', 'runkeeper', 'garmin', 'app', 'there', 'loads', 'of', 'others', 'out', 'there', ""there's""]"
21,"['love', 'how', 'this', 'tracks', 'everything', 'could', 'do', 'with', 'more', 'workout', 'options', 'little', 'bit', 'disappointing', 'that', 'you', 'can', 'change', 'method', 'of', 'exercise', 'mid', 'workout', ""can't""]"
22,"['very', 'good', 'app', 'if', 'this', 'strava', 'were', 'combined', 'we', 'have', 'perfect', 'app', ""we'd""]"
23,"['very', 'user', 'friendly', 'app']"
24,"['love', 'it', 'but', 'friend', 'running', 'tracks', 'do', 'not', 'update', 'after', 'you', 'first', 'look', 'at', 'them', 'during', 'workout', 'needs', 'fixed', 'for', 'this', 'app', 'reach', 'its', 'potential', 'update', 'still', 'not', 'fixed', 'premium', 'member', 'submitted', 'request', 'which', 'they', 'ignored', 'stay', 'away', 'from', 'this', 'paid', 'app', ""friend's""]"
25,"['user', 'friendly']"
26,"['if', 'you', 'need', 'ble', 'runtasticis', 'your', 'best', 'bet']"
27,"['enjoy', 'every', 'moment', 'of', 'this', 'app', 'helps', 'me', 'track', 'me', 'progress']"
28,"['great', 'for', 'running', 'mtb']"
29,"['love', 'this', 'app', 'got', 'premium', 'by', 'free', 'how', 'good', 'that', 'best', 'exercise', 'app', 'so', 'far']"
30,"['very', 'useful', 'apps']"
31,"['this', 'application', 'can', 'improve', 'your', 'healthy', 'your', 'heart', 'your', 'life', 'be', 'new', 'you']"
32,['excellent']
33,"['great', 'app']"
34,['application']
35,"['love', 'it', 'have', 'used', 'it', 'running', 'kayaking', 'mountain', 'biking', 'hiking', 'it', 'always', 'give', 'clear', 'map', 'with', 'accurate', 'display']"
36,"['my', 'friends', 'can', 'see', 'my', 'running', 'routes', 'it', 'seems', 'if', 'have', 'changed', 'all', 'privacy', 'settings', 'sharing', 'but', 'still', 'nothing', 'works', 'please', 'help', 'tit', 'great', 'app', 'it', 'even', 'motivated', 'me', 'go', 'running', 'during', 'revent', 'overseas', 'trip', 'easy', 'use', 'gives', 'good', 'info', ""can't""]"
37,"['great', 'carnt', 'fault', 'this', 'application']"
38,"['it', 'drains', 'battery', 'life', 'uses', 'aprox', '20%', 'of', 'my', 'battery', 'life', 'in', 'one', 'hour', 'gps', 'not', 'accurare', 'several', 'times', 'looses', 'signal', 'or', 'signal', 'very', 'unaccurate', 'they', 'also', 'need', 'revise', 'price', 'plan', 'for', 'going', 'pro']"
39,"['with', 'no', 'option', 'resume', 'tracking', 'process', 'after', 'force', 'close', 'plus', 'app', 'itself', 'so', 'demanding', 'when', 'it', 'comes', 'resources', 'edit', 'recent', 'updates', 'are', 'premium', 'only', 'app', 'getting', 'ugly', 'without', 'trying', 'fix', 'main', 'bugs']"
40,"['while', 've', 'already', 'lost', 'ponds', 'in', 'one', 'week', 'my', 'phone', 'won', 'sync', 'with', 'online', 'program', 'so', 'yes', 'it', 'works', 'but', 'not', 'getting', 'everything', 'that', 'was', 'promised', ""i've"", ""won't"", ""i'm""]"
41,"['mia', 'journal', 'feature', 'upside', 'captures', 'much', 'of', 'nutritional', 'profile', 'of', 'each', 'meal', 'offers', 'many', 'options', 'easy', 'adjustments', 'food', 'amounts', 'export', 'via', 'spreadsheet', 'format', 'wants', 'time', 'of', 'meal', 'track', 'ketostix', 'blood', 'sugar', 'levels', 'paid', 'version', 'kill', 'many', 'ads', 'ability', 'delete', 'unused', 'exercise', 'activities', 'put', 'then', 'in', 'order', 'of', 'use']"
42,"['this', 'would', 'be', 'best', 'app', 'if', 'it', 'had', 'option', 'for', 'me', 'add', 'ingredients', 'recipe', 'creating', 'on', 'my', 'own', 'loseit', 'has', 'ability', 'but', 'your', 'database', 'has', 'more', 'of', 'foods', 'ingredients', 'that', 'use', 'if', 'you', 'add', 'this', 'feature', 'll', 'definitely', 'change', 'my', 'rating', 'star', ""i'm"", ""i'll""]"
43,"['all', 'fixed', 'thanks']"
44,"['does', 'not', 'seem', 'save', 'added', 'or', 'scanned', 'in', 'items', 'can', 'not', 'find', 'them', 'again', 'in', 'foods', 'or', 'search', 'although', 'they', 'are', 'under', 'recent', 'exercises', 'not', 'used', 'could', 'be', 'filtered', 'out']"
45,"['love', 'this', 'app', 'appreciate', 'being', 'able', 'keep', 'track', 'of', 'my', 'daily', 'intake', 'go', 'back', 'track', 'my', 'wsak', 'areas', 'it', 'delivers', 'just', 'what', 'it', 'promises', 'diabetic', 'it', 'my', 'best', 'friend', 'in', 'keeping', 'my', 'blood', 'sugar', 'stable', 'thanks', 'for', 'making', 'such', 'great', 'app', ""it's""]"
46,"['love', 'search', 'for', 'food', 'count', 'your', 'calories', 'great', 'option', 'also', 'yes', 'would', 'have', 'been', 'but', 'agree', 'with', 'creating', 'your', 'own', 'food', 'recipe']"
47,"['never', 'had', 'problem', 'on', 'my', 's3']"
50,"['lost', 'four', 'stone', 'with', 'this', 'ap', 'really', 'changed', 'my', 'life', 'cheaper', 'than', 'weight', 'watchers']"
51,"['it', 'easy', 'use', 'has', 'number', 'of', 'things', 'in', 'database', 'which', 'love', 'but', 'bar', 'code', 'scanner', 'does', 'not', 'work', 'at', 'all', 'it', 'just', 'keeps', 're', 'adjusting', 'itself', 'never', 'scans', 'product', 'ended', 'up', 'entering', 'it', 'manually', ""it's""]"
52,['amazing']
53,"['do', 'use', 'it', 'wish', 'could', 'enter', 'in', 'time', 'see', 'how', 'long', 'particular', 'meal', 'lasted', 'perhaps', 'some', 'notes']"
