package,version_code,version_name,title,category,rating,download,date_published,developer,total_permissions,permissions
com.tinymission.dailyabworkoutfree1,42,"2.52","Daily Ab Workout FREE",Health & Fitness,4.5163074,5000000,2013-09-06,"Daily Workout Apps, LLC",13,"android.permission.INTERNET,android.permission.READ_PHONE_STATE,android.permission.ACCESS_NETWORK_STATE,android.permission.GET_ACCOUNTS,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_WIFI_STATE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_LOGS,android.permission.GET_TASKS,android.permission.CALL_PHONE,android.permission.SEND_SMS,android.permission.READ_EXTERNAL_STORAGE"
com.tinymission.dailyabworkoutfree1,44,"2.64","Daily Ab Workout FREE",Health & Fitness,4.505777,5000000,2013-11-18,"Daily Workout Apps, LLC",7,"android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.GET_ACCOUNTS,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_WIFI_STATE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_EXTERNAL_STORAGE"
com.wsl.noom,182,"4.1.8","Noom Weight Loss Coach",Health & Fitness,4.31550931930542,10000000,2014-06-20,"Noom Inc.",25,"android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.WAKE_LOCK,android.permission.GET_ACCOUNTS,android.permission.MANAGE_ACCOUNTS,android.permission.USE_CREDENTIALS,android.permission.VIBRATE,android.permission.BLUETOOTH_ADMIN,android.permission.BLUETOOTH,android.permission.READ_PHONE_STATE,android.permission.CAMERA,com.android.launcher.permission.INSTALL_SHORTCUT,com.android.vending.BILLING,android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,android.permission.READ_SYNC_STATS,android.permission.READ_SYNC_SETTINGS,android.permission.WRITE_SYNC_SETTINGS,com.wsl.noom.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION"
com.wsl.noom,181,"4.1.7","Noom Weight Loss Coach",Health & Fitness,4.31646203994751,10000000,2014-06-12,"Noom Inc.",25,"android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.WAKE_LOCK,android.permission.GET_ACCOUNTS,android.permission.MANAGE_ACCOUNTS,android.permission.USE_CREDENTIALS,android.permission.VIBRATE,android.permission.BLUETOOTH_ADMIN,android.permission.BLUETOOTH,android.permission.READ_PHONE_STATE,android.permission.CAMERA,com.android.launcher.permission.INSTALL_SHORTCUT,com.android.vending.BILLING,android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,android.permission.READ_SYNC_STATS,android.permission.READ_SYNC_SETTINGS,android.permission.WRITE_SYNC_SETTINGS,com.wsl.noom.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION"
com.endomondo.android,120,"9.3.1","Endomondo Sports Tracker",Health & Fitness,4.5216417,5000000,2014-01-03,"Endomondo.com",26,"android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,android.permission.ACCESS_MOCK_LOCATION,android.permission.ACCESS_COARSE_LOCATION,android.permission.INTERNET,android.permission.BLUETOOTH_ADMIN,android.permission.BLUETOOTH,android.permission.WRITE_EXTERNAL_STORAGE,com.dsi.ant.permission.ANT,com.dsi.ant.permission.ANT_ADMIN,android.permission.ACCESS_NETWORK_STATE,android.permission.READ_CONTACTS,android.permission.WRITE_CONTACTS,android.permission.GET_ACCOUNTS,android.permission.MANAGE_ACCOUNTS,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.READ_SYNC_SETTINGS,android.permission.WRITE_SYNC_SETTINGS,android.permission.WAKE_LOCK,android.permission.VIBRATE,com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION,com.android.vending.BILLING,android.permission.READ_PHONE_STATE,com.endomondo.android.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE,android.permission.READ_EXTERNAL_STORAGE"
com.endomondo.android,121,"9.4.0","Endomondo Sports Tracker",Health & Fitness,4.511961,5000000,2014-01-29,"Endomondo.com",26,"android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,android.permission.ACCESS_MOCK_LOCATION,android.permission.ACCESS_COARSE_LOCATION,android.permission.INTERNET,android.permission.BLUETOOTH_ADMIN,android.permission.BLUETOOTH,android.permission.WRITE_EXTERNAL_STORAGE,com.dsi.ant.permission.ANT,com.dsi.ant.permission.ANT_ADMIN,android.permission.ACCESS_NETWORK_STATE,android.permission.READ_CONTACTS,android.permission.WRITE_CONTACTS,android.permission.GET_ACCOUNTS,android.permission.MANAGE_ACCOUNTS,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.READ_SYNC_SETTINGS,android.permission.WRITE_SYNC_SETTINGS,android.permission.WAKE_LOCK,android.permission.VIBRATE,com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION,com.android.vending.BILLING,android.permission.READ_PHONE_STATE,com.endomondo.android.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE,android.permission.READ_EXTERNAL_STORAGE"
com.skimble.workouts,48,"4.8","Workout Trainer",Health & Fitness,4.3822155,5000000,2013-09-06,"Skimble Inc.",13,"com.skimble.workouts.permission.C2D_MESSAGE,android.permission.ACCESS_COARSE_LOCATION,android.permission.INTERNET,android.permission.READ_PHONE_STATE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.VIBRATE,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.android.vending.BILLING,android.permission.ACCESS_NETWORK_STATE,com.google.android.c2dm.permission.RECEIVE,android.permission.GET_ACCOUNTS,android.permission.READ_EXTERNAL_STORAGE"
com.skimble.workouts,50,"5.0","Workout Trainer",Health & Fitness,4.3693943,5000000,2014-01-05,"Skimble Inc.",13,"com.skimble.workouts.permission.C2D_MESSAGE,android.permission.ACCESS_COARSE_LOCATION,android.permission.INTERNET,android.permission.READ_PHONE_STATE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.VIBRATE,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.android.vending.BILLING,android.permission.ACCESS_NETWORK_STATE,com.google.android.c2dm.permission.RECEIVE,android.permission.GET_ACCOUNTS,android.permission.READ_EXTERNAL_STORAGE"
com.nike.plusgps,99,"1.3.4","Nike+ Running",Health & Fitness,4.372411727905273,5000000,2014-04-15,"Nike, Inc.",16,"android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WAKE_LOCK,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.READ_PHONE_STATE,android.permission.ACCESS_FINE_LOCATION,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.VIBRATE,android.permission.READ_CONTACTS,android.permission.WRITE_CALENDAR,android.permission.READ_CALENDAR,android.permission.GET_ACCOUNTS,com.google.android.c2dm.permission.RECEIVE,com.nike.plusgps.permission.C2D_MESSAGE,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_CALL_LOG"
com.nike.plusgps,100,"1.4","Nike+ Running",Health & Fitness,4.372573375701904,5000000,2014-06-19,"Nike, Inc.",16,"android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WAKE_LOCK,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.READ_PHONE_STATE,android.permission.ACCESS_FINE_LOCATION,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.VIBRATE,android.permission.READ_CONTACTS,android.permission.WRITE_CALENDAR,android.permission.READ_CALENDAR,android.permission.GET_ACCOUNTS,com.google.android.c2dm.permission.RECEIVE,com.nike.plusgps.permission.C2D_MESSAGE,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_CALL_LOG"
